,adm,country,link
0,99,Central African Republic,http://data.humdata.org/dataset/78d80f16-b9ff-49cd-8195-d96efcf3b669/resource/e5271f2d-1829-4fcd-9a1f-e6d034074d25/download/CAF_admbnda_adm0_200k_sigcaf_reach_itos.zip
0,99,Central African Republic,http://data.humdata.org/dataset/78d80f16-b9ff-49cd-8195-d96efcf3b669/resource/a552ddef-ee61-418c-a815-b53227ec419f/download/caf_admbndl_admALL_200k_sigcaf_reach_ocha_itos.zip
0,99,Central African Republic,http://data.humdata.org/dataset/78d80f16-b9ff-49cd-8195-d96efcf3b669/resource/6b6f2169-5863-4894-b800-76e8dbca1497/download/caf_admbnda_adm4_reach_ocha.zip
0,99,Senegal,http://data.humdata.org/dataset/bd9bc484-155d-41a3-87cf-064310a94492/resource/4ef61299-7edb-4529-aa09-76137c14962a/download/sen_admbnda_admint_1m_dtgc_ocha.zip
0,99,Senegal,http://data.humdata.org/dataset/bd9bc484-155d-41a3-87cf-064310a94492/resource/45f60789-a249-48f0-85bd-97bcc250c937/download/sen_admbnda_adm1_1m_dtgc_ocha.zip
0,99,Senegal,http://data.humdata.org/dataset/bd9bc484-155d-41a3-87cf-064310a94492/resource/63d01675-a00a-417f-9a26-5aa8a98f8a55/download/sen_admbndl_admALL_1m_dtgc_ocha.zip
0,99,Senegal,http://data.humdata.org/dataset/bd9bc484-155d-41a3-87cf-064310a94492/resource/9cc64543-4ab6-48f3-bf0a-111e745b87ef/download/sen_admbnda_adm2_1m_dtgc_ocha.zip
0,99,Senegal,http://data.humdata.org/dataset/bd9bc484-155d-41a3-87cf-064310a94492/resource/f9fda9b6-5123-463b-b019-580c1bd41bcf/download/sen_admbnda_adm3_1m_dtgc_ocha.zip
0,99,Senegal,http://data.humdata.org/dataset/bd9bc484-155d-41a3-87cf-064310a94492/resource/581244a4-3fcb-4e5e-873b-4b80b6c3c924/download/sen_admbndl_admint_1m_dtgc_ocha.zip
0,99,Senegal,http://data.humdata.org/dataset/bd9bc484-155d-41a3-87cf-064310a94492/resource/069fa751-aabf-4cce-9076-4eaaaaf9a42c/download/sen_admbndl_adm1_1m_dtgc_ocha.zip
0,99,Mauritania,http://data.humdata.org/dataset/8d49f50d-92a8-46d9-9462-f821a8058f6d/resource/dacb6ad2-13b6-4f14-b1e9-44b800d76e58/download/MRT_admbnd0_1m_Ocha.zip
0,99,Mauritania,http://data.humdata.org/dataset/8d49f50d-92a8-46d9-9462-f821a8058f6d/resource/1e7d4873-1151-4d83-a38d-11f047d8b994/download/MRT_admbnd1_1m_Ocha.zip
0,99,Mauritania,http://data.humdata.org/dataset/8d49f50d-92a8-46d9-9462-f821a8058f6d/resource/f3586acb-27fc-4c49-a635-5ad33ad8f3f8/download/MRT_admbnd2_1m_Ocha.zip
0,99,Mauritania,http://data.humdata.org/dataset/8d49f50d-92a8-46d9-9462-f821a8058f6d/resource/b0b948ad-2310-45b2-beda-2cc6ea3e5146/download/MRT_admbnd3_1m_WFP.zip
0,99,Mauritania,http://data.humdata.org/dataset/8d49f50d-92a8-46d9-9462-f821a8058f6d/resource/c77822ea-e9cd-4580-8ca8-17ef80aeb1a7/download/MRT_admbnda_ALL_wfp_ocha_itos.zip
0,99,Burkina Faso,http://data.humdata.org/dataset/2940ed80-4b69-4b98-abaf-af79088852c5/resource/c13a978a-cfdf-4704-b784-4006b5c1419c/download/bfa_admbnda_admint_1m_salb_itos.zip
0,99,Burkina Faso,http://data.humdata.org/dataset/2940ed80-4b69-4b98-abaf-af79088852c5/resource/5d409afc-7bc6-4c72-8a49-0fc5cd4718a5/download/bfa_admbnda_adm1_1m_salb_itos.zip
0,99,Burkina Faso,http://data.humdata.org/dataset/2940ed80-4b69-4b98-abaf-af79088852c5/resource/872a2e62-9c2d-4bd7-9570-93b1fa9d9869/download/bfa_admbnda_adm2_1m_salb_itos.zip
0,99,Somalia,http://data.humdata.org/dataset/ec140a63-5330-4376-a3df-c7ebf73cfc3c/resource/7ba79e2a-6f8b-49b9-8422-7690298497d2/download/Som_Admbnda_Adm0_UNDP.zip
0,99,Somalia,http://data.humdata.org/dataset/ec140a63-5330-4376-a3df-c7ebf73cfc3c/resource/0353bb25-919e-40d7-be7d-831376bc4f76/download/SOM_Admbnda_Adm1_UNDP.zip
0,99,Mali,http://data.humdata.org/dataset/d2ec62bb-5a93-436d-8297-88b3ee9b6818/resource/1ba8420f-7361-4967-a042-afcef4217167/download/mli_admbnda_adm0_gov.zip
0,99,Mali,http://data.humdata.org/dataset/d2ec62bb-5a93-436d-8297-88b3ee9b6818/resource/986d42a2-dfa1-4317-aaa8-a1cb276ee5bd/download/mli_admbnda_adm2_gov_ocha_itos.zip
0,99,Mali,http://data.humdata.org/dataset/d2ec62bb-5a93-436d-8297-88b3ee9b6818/resource/ebed0012-ddc7-4bd6-9ab1-4f0b01a795cd/download/mli_admbnda_adm4_iom_gov.zip
0,99,State of Palestine,http://data.humdata.org/dataset/2caf8373-816f-458c-9913-71bddb9cab7c/resource/6bca27f1-73de-41bb-bfeb-27efb8fe9c97/download/pse_admbnda_adm1_pamop.zip
0,99,State of Palestine,http://data.humdata.org/dataset/2caf8373-816f-458c-9913-71bddb9cab7c/resource/5635fa0e-1a39-4619-bcb1-c0031c993070/download/pse_admbnda_adm2_ocha.zip
0,99,State of Palestine,http://data.humdata.org/dataset/2caf8373-816f-458c-9913-71bddb9cab7c/resource/19a1c75c-d3bb-4327-96fe-2ebfbee9a6ec/download/pse_admbndl_admALL_pamop_ocha_itos.zip
0,99,Tunisia,http://data.humdata.org/dataset/e47eda48-8f83-4858-b739-dbffb8a50c47/resource/107a93ea-5764-46f6-ab2d-19e6bbec654f/download/TUN_adm0.zip
0,99,Tunisia,http://data.humdata.org/dataset/e47eda48-8f83-4858-b739-dbffb8a50c47/resource/c52ddbb3-a22d-4988-90f1-a8e71099a00e/download/TUN_adm1.zip
0,99,Tunisia,http://data.humdata.org/dataset/e47eda48-8f83-4858-b739-dbffb8a50c47/resource/33ebbdc5-f111-49ec-aa7d-2449874e511d/download/TUN_adm2.zip
0,99,Tunisia,http://data.humdata.org/dataset/e47eda48-8f83-4858-b739-dbffb8a50c47/resource/4a9139a9-41d4-4037-8774-fb14dbe15430/download/wrl_capp_15m_esri.zip
0,99,Tunisia,http://data.humdata.org/dataset/e47eda48-8f83-4858-b739-dbffb8a50c47/resource/85421869-1e25-4dd2-9779-d337d6a61f29/download/TUN_PLACES_ESRI.zip
0,99,Western Sahara,http://data.humdata.org/dataset/ab6e70bd-3cab-4a68-9a02-04ecd3df6b46/resource/6fd8f515-31b2-4517-a2cc-bd76af596aa6/download/ESH_admn0.zip
0,99,Western Sahara,http://data.humdata.org/dataset/ab6e70bd-3cab-4a68-9a02-04ecd3df6b46/resource/9d86e1f6-2e4f-4440-9d4c-3fcacbdf0c59/download/ESH_admn1.zip
0,99,Western Sahara,http://data.humdata.org/dataset/ab6e70bd-3cab-4a68-9a02-04ecd3df6b46/resource/b351b1b2-e828-4542-b2ec-b2bf5728e8cc/download/Capital.zip
0,99,Morocco,http://data.humdata.org/dataset/7fb8f891-35f2-4bd5-8c75-5e7797ff1731/resource/ebf7ef5b-ef64-47a0-b973-eb7afa712736/download/MAR_adm0.zip
0,99,Morocco,http://data.humdata.org/dataset/7fb8f891-35f2-4bd5-8c75-5e7797ff1731/resource/7091e335-fd67-4e00-84c1-7e766741e322/download/MAR_adm1.zip
