country;country_code;admin_level;local_name;pcode_col;name_col;pcode_parent_col;name_parent_col;population_col;link;filter
Nigeria;NGA;1;;admin1pcod;admin1name;admin0pcod;admin0name;;http://data.humdata.org/dataset/81ac1d38-f603-4a98-804d-325c658599a3/resource/6815dd94-c6f1-47bf-8f84-7941d3a4a8cd/download/nga_admbnda_adm1_osgof.zip;0
Nigeria;NGA;2;;admin2pcod;admin2name;admin1pcod;admin1name;;http://data.humdata.org/dataset/81ac1d38-f603-4a98-804d-325c658599a3/resource/aa69f07b-ed8e-456a-9233-b20674730be6/download/nga_admbnda_adm2_osgof.zip;0
Nigeria;NGA;3;;admin3pcod;admin3name;admin2pcod;admin2name;;http://data.humdata.org/dataset/81ac1d38-f603-4a98-804d-325c658599a3/resource/7a549ab8-2c2b-4d76-bc56-9d63eb532b16/download/nga_admbnda_adm3_osgof_eha_itos.zip;0
Oman;OMN;1;;;;;;;http://data.humdata.org/dataset/da87f54e-64bd-4cf4-bd31-3fc520f94609/resource/36dee86a-5d84-4a37-8f29-e7f15e9e55eb/download/OMN_adm1.zip;0
Oman;OMN;2;;;;;;;http://data.humdata.org/dataset/da87f54e-64bd-4cf4-bd31-3fc520f94609/resource/fae5d130-099b-4bbd-b0d1-99e091d4166d/download/OMN_adm2.zip;0
Pakistan;PAK;1;;hrpcode;hrname;hrparent;;;http://data.humdata.org/dataset/e8b7a131-7b21-473c-ac93-366318a5c1ab/resource/7d84a103-d25f-4cf7-9898-0516f6077bbf/download/Pak_adm1_pco_20110324.zip;0
Pakistan;PAK;3;;hrpcode;hrname;hrparent;;;http://data.humdata.org/dataset/bbd5c699-ea35-4635-b80a-d58636320a47/resource/eaee9a41-521d-4083-a580-92dbc2220b82/download/pak_adm3_pco_20150528.zip;0
Pakistan;PAK;2;;hrpcode;hrname;hrparent;;;http://data.humdata.org/dataset/44c2b2a4-b1cb-49d3-8299-0e544f1cab52/resource/19a7b974-cd62-4514-ae07-405369fccdd6/download/pak_adm2_pco_20150528.zip;0
Papua New Guinea;PNG;2;;;;;;;http://data.humdata.org/dataset/2ae8b5d6-a23a-448a-b68a-cba505a75371/resource/2d447912-198f-41cc-a3ca-a2daeb31a5f9/download/PNG_polbnd_adm2_2015_nso.zip;1
Papua New Guinea;PNG;1;;;;;;;http://data.humdata.org/dataset/42226b95-546b-4518-8f32-6548b4f11f49/resource/b0fd08ce-5f3e-4579-b215-374c68e2152f/download/PNG_polbnd_adm1_2015_nso.zip;1
Papua New Guinea;PNG;3;;geocode;name;;;totpop;http://data.humdata.org/dataset/a2f3ba35-459b-400e-a394-3f5639672d5f/resource/ad705979-2d76-4b73-8865-596bd3846098/download/PNG_polbnd_adm3_2015_nso.zip;1
Philippines;PHL;1;;;;;;;http://data.humdata.org/dataset/caf116df-f984-4deb-85ca-41b349d3f313/resource/315b64be-e4c9-401d-80c2-81a0e4cfb917/download/PHL_adm1_PSA_pn_2016June.zip;0
Philippines;PHL;2;;;;;;;http://data.humdata.org/dataset/caf116df-f984-4deb-85ca-41b349d3f313/resource/b2890403-1ad8-4f14-8762-9ef34f251609/download/PHL_adm2_PSA_pn_2016June.zip;0
Philippines;PHL;3;;;;;;;http://data.humdata.org/dataset/caf116df-f984-4deb-85ca-41b349d3f313/resource/ebc4092d-d56d-42d1-95ee-4fc6fad4e5e4/download/PHL_adm3_PSA_pn_2016June.zip;0
Qatar;QAT;1;;;;;;;http://data.humdata.org/dataset/6a84f3b8-41cd-4769-a61f-6dbd5f61bd05/resource/c11a9ba7-3e69-4f3f-bb02-70c094698039/download/QAT_adm1.zip;0
Rwanda;RWA;3;;;;;;;http://data.humdata.org/dataset/82a51550-f7c3-4f25-9ccc-7af1aeb89425/resource/d2708930-d91c-408e-ac3b-3d273a75dc4d/download/rwaadmin32006nisr.zip;0
Rwanda;RWA;2;;;;;;;http://data.humdata.org/dataset/de16a690-8b56-4ad4-ad30-2d491fceac0a/resource/f2129555-fbcf-40ba-a275-5271d6c40a6a/download/rwaadmin22006nisr.zip;0
Sao Tome And Principe;STP;1;;;;;;;http://data.humdata.org/dataset/9746c0f7-9ed3-4a3f-890e-88bc19166770/resource/93b95d0e-7c77-4f48-afa4-21de1adda741/download/STP_adm1_gadm.zip;0
Sao Tome And Principe;STP;2;;;;;;;http://data.humdata.org/dataset/9746c0f7-9ed3-4a3f-890e-88bc19166770/resource/48d873bf-3759-4399-8d16-b4de0adf608f/download/STPadm2gadm.zip;0
Saudi Arabia;SAU;1;;;;;;;http://data.humdata.org/dataset/41ce9023-1d21-4549-a485-94316200aba0/resource/a0188b1b-2f40-4f27-8a43-25913a7378ca/download/SAU_adm1.zip;0
Senegal;SEN;1;;admin1pcod;admin1name;admin0pcod;admin0name;;http://data.humdata.org/dataset/bd9bc484-155d-41a3-87cf-064310a94492/resource/45f60789-a249-48f0-85bd-97bcc250c937/download/sen_admbnda_adm1_1m_dtgc_ocha.zip;0
Senegal;SEN;2;;admin2pcod;admin2name;admin1pdco;admin1name;;http://data.humdata.org/dataset/bd9bc484-155d-41a3-87cf-064310a94492/resource/9cc64543-4ab6-48f3-bf0a-111e745b87ef/download/sen_admbnda_adm2_1m_dtgc_ocha.zip;0
Senegal;SEN;3;;admin3code;admin3name;admin2pcod;admin2name;;http://data.humdata.org/dataset/bd9bc484-155d-41a3-87cf-064310a94492/resource/f9fda9b6-5123-463b-b019-580c1bd41bcf/download/sen_admbnda_adm3_1m_dtgc_ocha.zip;0
Sierra Leone;SLE;1;;;;;;;http://data.humdata.org/dataset/a4816317-a913-4619-b1e9-d89e21c056b4/resource/b6225ff4-80e2-428f-be5e-db5d2f43a3d6/download/Admin1ProvinceSLEsleprovince.zip;0
Sierra Leone;SLE;2;;;;;;;http://data.humdata.org/dataset/a4816317-a913-4619-b1e9-d89e21c056b4/resource/b3963917-8550-478d-9363-736492bf209a/download/sle_admbnda_adm2_1m_gov_ocha.zip;0
Sierra Leone;SLE;3;;;;;;;http://data.humdata.org/dataset/a4816317-a913-4619-b1e9-d89e21c056b4/resource/e2aa661d-af2f-42d8-bdea-c7e16a00bdb2/download/sle_admbnda_adm3_1m_gov_ocha.zip;0
Somalia;SOM;1;;admin1pcod;admin1name;admin0pcod;admin0name;;http://data.humdata.org/dataset/ec140a63-5330-4376-a3df-c7ebf73cfc3c/resource/0353bb25-919e-40d7-be7d-831376bc4f76/download/SOM_Admbnda_Adm1_UNDP.zip;0
Somalia;SOM;2;;admin2pcod;admin2name;admin1pcod;admin1name;;http://data.humdata.org/dataset/ec140a63-5330-4376-a3df-c7ebf73cfc3c/resource/a58ba039-7423-4241-b2cb-0534c46f295d/download/Som_Admbnda_Adm2_UNDP.zip;0
South Africa;ZAF;1;;;;;;;http://data.humdata.org/dataset/061d4492-56e8-458c-a3fb-e7950991adf0/resource/6f571def-1278-4cee-9461-55616a1ef163/download/zaf_polbnda_adm1_provinces_SAMDB.zip;0
Sri Lanka;LKA;2;;district_c;district_n;province_c;;tot_pop;http://data.humdata.org/dataset/5ed05f6e-556f-4545-918a-a5b679386ee9/resource/bcc9d500-3895-4262-8e6f-9eb3b652d931/download/lka_pop_censusproj2022adm2_wfpocha.zip;1
Sri Lanka;LKA;1;;;;;;;http://data.humdata.org/dataset/14dd7ed1-84ca-46ea-9677-dc9f49bf6b58/resource/4f680477-47af-414c-84d2-db29b17f9ba1/download/lka_pop_censusproj2022adm1_wfpocha.zip;1
Sri Lanka;LKA;3;;dsd_c;dsd_n;district_1;district_n;tot_pop;http://data.humdata.org/dataset/fa50efee-3fd9-412c-99e1-3a8b8759299e/resource/d102324b-be2b-4c17-a153-732a0db59f5d/download/lka_pop_censusproj2022adm3_wfpocha.zip;1
State of Palestine;PSE;1;;admin1pcod;admin1name;admin0pcod;admin0name;;http://data.humdata.org/dataset/2caf8373-816f-458c-9913-71bddb9cab7c/resource/6bca27f1-73de-41bb-bfeb-27efb8fe9c97/download/pse_admbnda_adm1_pamop.zip;0
State of Palestine;PSE;2;;admin2pcod;admin2name;admin1pcod;admin1name;;http://data.humdata.org/dataset/2caf8373-816f-458c-9913-71bddb9cab7c/resource/5635fa0e-1a39-4619-bcb1-c0031c993070/download/pse_admbnda_adm2_ocha.zip;0
Sudan;SDN;1;;admin1pcod;admin1name;admin0pcod;admin0name;;http://data.humdata.org/dataset/7b3c6a84-b654-4298-a777-a6f247162ae2/resource/08358eaf-a962-4784-86a9-6408441cec87/download/sd_admbnda_adm1_17012016_zipped-shapefile-334kb.zip;0
Sudan;SDN;2;;admin2pcod;admin2name;admin1pcod;admin1name;;http://data.humdata.org/dataset/7b3c6a84-b654-4298-a777-a6f247162ae2/resource/fc0b09fe-85c9-4e31-8a80-183cadf6567e/download/sd_admbnda_adm2_17012016_zipped-shapefile-572kb.zip;0
Thailand;THA;1;;;;;;;http://data.humdata.org/dataset/d24bdc45-eb4c-4e3d-8b16-44db02667c27/resource/01f75483-3138-48cc-b25d-112d812905ba/download/THA_Adm_level_1.zip;0
Thailand;THA;2;;;;;;;http://data.humdata.org/dataset/d24bdc45-eb4c-4e3d-8b16-44db02667c27/resource/d3d262d9-70b5-45b3-bf90-4bf4af26a173/download/THA_Adm_level_2.zip;0
Thailand;THA;3;;;;;;;http://data.humdata.org/dataset/d24bdc45-eb4c-4e3d-8b16-44db02667c27/resource/baecf366-00d9-425e-9ff5-e583d187374c/download/THA_Adm_level_3.zip;0
Tunisia;TUN;1;;;;;;;http://data.humdata.org/dataset/e47eda48-8f83-4858-b739-dbffb8a50c47/resource/c52ddbb3-a22d-4988-90f1-a8e71099a00e/download/TUN_adm1.zip;0
Tunisia;TUN;2;;;;;;;http://data.humdata.org/dataset/e47eda48-8f83-4858-b739-dbffb8a50c47/resource/33ebbdc5-f111-49ec-aa7d-2449874e511d/download/TUN_adm2.zip;0
Uganda;UGA;3;;;;;;;http://data.humdata.org/dataset/bb32a92a-f4c0-43d1-8919-57e674fe6c53/resource/5d2e6965-920a-4c07-bacf-a0c900b9d220/download/uganda_county2006.zip;0
Uganda;UGA;2;;;;;;;http://data.humdata.org/dataset/52707222-6315-4249-aaec-991f9c755cb7/resource/f7879af8-d8b8-4bdb-bf1c-291183a6457b/download/uganda_district2010.zip;0
Uganda;UGA;1;;;;;;;http://data.humdata.org/dataset/5ad282a3-d981-4987-8d39-78b88423954f/resource/fc202677-4f65-4f51-a51e-8328bd6a1b2e/download/uganda_subregional2006.zip;0
United Arab Emirates;ARE;1;;;;;;;http://data.humdata.org/dataset/23d41c1f-41ef-4957-a47e-b8c08c984d83/resource/54f2c9ed-68d3-4cbb-a830-a15282b1bca9/download/Admin1.rar;0
Viet Nam;VNM;1;;adm1_code;adm1_name;;;;http://data.humdata.org/dataset/48fc09c8-a831-4e7b-a847-74e37f1d66a5/resource/2502f188-9657-405e-a807-bf7a8531182d/download/vnm_polbnda_adm1_2014_pdc.zip;1
Viet Nam;VNM;3;;adm3_code;adm3_name;adm2_code;adm2_name;pop;http://data.humdata.org/dataset/f72bb37c-2303-4c72-ab85-fedd80368b4c/resource/04afef02-cff7-4eea-8033-eed86e8ab11c/download/vnm_polbnda_adm3_2014_pdc.zip;1
Viet Nam;VNM;2;;adm2_code;adm2_name;adm1_code;adm1_name;;http://data.humdata.org/dataset/d0c1f725-ecb2-47f7-88e4-42b255564edb/resource/16d9ea15-5246-4dad-b46d-9bc858f8dcaf/download/vnm_polbnda_adm2_2014_pdc.zip;1
Western Sahara;ESH;1;;;;;;;http://data.humdata.org/dataset/ab6e70bd-3cab-4a68-9a02-04ecd3df6b46/resource/9d86e1f6-2e4f-4440-9d4c-3fcacbdf0c59/download/ESH_admn1.zip;0
Yemen;YEM;1;;;;;;;http://data.humdata.org/dataset/6b2656e2-b915-4671-bfed-468d5edcd80a/resource/69146e1e-62c7-4e7f-8f6c-2dacffe02283/download/Admin-1.zip;0
Yemen;YEM;2;;;;;;;http://data.humdata.org/dataset/6b2656e2-b915-4671-bfed-468d5edcd80a/resource/f60035dc-624a-49cf-95de-9d489c07d3b9/download/Admin-2.zip;0
Zimbabwe;ZWE;3;;wardpcode;wardnumber;districtpc;district;;http://data.humdata.org/dataset/125ad988-4027-4eac-afe2-65937cd95774/resource/028d3211-dde2-474a-9e3b-26213a8fc9e2/download/zwe_polbnda_adm3_250k_cso_0.zip;0
Zimbabwe;ZWE;2;;districtpc;dist_name_;provincepc;provnamefu;;http://data.humdata.org/dataset/bdb183f1-c0e5-4cfd-afe2-5b5cb21e8826/resource/29cb3d94-917b-4aa0-994c-c895603aade4/download/zwe_polbnda_adm2_250k_cso.zip;0
Zimbabwe;ZWE;1;;prov_code;province;;;;http://data.humdata.org/dataset/07040991-cbd9-47ef-9d2e-8e6262d6c04c/resource/59c2a3bc-3d87-467c-9ea8-0876a1fdd023/download/zwe_polbnda_adm1_250k_cso.zip;0
