country;country_code;admin_level;local_name;pcode_col;name_col;pcode_parent_col;name_parent_col;population_col;link;filter
Cambodia;KHM;2;;hrpcode;hrname;hrparent;;;http://data.humdata.org/dataset/12c067f1-f15d-4c69-b57d-a0858e68e787/resource/f80ea9ef-69fd-4fbe-83f3-6cfc5011713f/download/khm_admbnda_adm2_gov.zip;0
Cameroon;CMR;1;;;;;;;http://data.humdata.org/dataset/b13f08ef-92ee-4446-9b0a-e219f5c25415/resource/20046324-ca41-4a5c-a010-d45ac356015a/download/CMR_ADMIN-1_SALB.ZIP;0
Cameroon;CMR;2;;;;;;;http://data.humdata.org/dataset/b13f08ef-92ee-4446-9b0a-e219f5c25415/resource/bf8b865f-8f17-405e-9e48-8ca25ddf9bd5/download/CMR-ADMIN-2_SALB.ZIP;0
Cape Verde;CPV;1;;;;;;;http://data.humdata.org/dataset/ce7df560-f77b-4f55-9175-4719ea21f50b/resource/2494e815-d67f-4eb1-92b9-6a108960baec/download/CPVConcelhossalb.zip;0
Central African Republic;CAF;1;;admin1pcod;admin1name;admin0pcod;admin0name;;http://data.humdata.org/dataset/78d80f16-b9ff-49cd-8195-d96efcf3b669/resource/b3e8f5e9-3546-475e-924f-4be91f88b12c/download/caf_admbnda_adm1_200k_sigcaf_reach_itos_Ocha.zip;0
Central African Republic;CAF;2;;admin2pcod;admin2name;admin1pcod;admin1name;;http://data.humdata.org/dataset/78d80f16-b9ff-49cd-8195-d96efcf3b669/resource/ddc54c62-2c0c-4b5b-9864-0a6ff747e4fc/download/caf_admbnda_adm2_200k_sigcaf_reach_itos_Ocha.zip;0
Central African Republic;CAF;3;;admin3pcod;admin3name;admin2pcod;admin2name;;http://data.humdata.org/dataset/78d80f16-b9ff-49cd-8195-d96efcf3b669/resource/f1faa825-b2b9-4677-b819-99fa4cb971ae/download/caf_admbnda_adm3_200k_sigcaf_reach_itos_ocha.zip;0
Chad;TCD;1;;pcode;region;;;;http://data.humdata.org/dataset/7a3532f7-c6f0-4106-86b9-650b5cfc4774/resource/8d3ab078-b47b-489c-9c82-723795dd88d3/download/tcd_admbnd_adm1_2008_ocha.zip;0
Chad;TCD;2;;pcode;departemen;;region;;http://data.humdata.org/dataset/7a3532f7-c6f0-4106-86b9-650b5cfc4774/resource/cf9d8f25-cc46-4f52-9985-6ea08711760e/download/tcd_admbnd_adm2_2008_ocha.zip;0
Congo;COG;1;;;;;;;http://data.humdata.org/dataset/762e2263-c6f1-4ef6-a3bc-48338a6484a8/resource/525b21cd-7da8-4abc-9186-21910eb604f8/download/COG_admbndp1_1m_gadm.zip;0
Congo;COG;2;;;;;;;http://data.humdata.org/dataset/762e2263-c6f1-4ef6-a3bc-48338a6484a8/resource/90bb7fd5-9d9f-48ac-bb68-7be8e176bbed/download/COG_admbndp2_1m_gadm.zip;0
Cote d'Ivoire;CIV;1;;admin1pcod;admin1name;admin0pcod;admin0name;;http://data.humdata.org/dataset/f1f0cfa1-afec-40a2-8390-a084e66a3377/resource/cc7b5423-0de1-41a4-b39b-4d4f75f890ab/download/civ_admbnda_adm1_cntig_20160527.zip;0
