;adm;country;link;name;filter
0;;Bahrain;http://data.humdata.org/dataset/23a85209-66d3-4d10-a69f-7baf6d2cc8c1/resource/9df2a1ae-b5f0-4bfa-8c2a-f58c12ec76fd/download/BHN_pplp_1m_ESRI.zip;Capitals;[{'field_name': 'ogc_fid', 'data_type': 'integer'}, {'field_name': 'wkb_geometry', 'data_type': 'USER-DEFINED'}, {'field_name': 'name', 'data_type': 'character varying'}, {'field_name': 'category', 'data_type': 'character varying'}, {'field_name': 'descript', 'data_type': 'character varying'}, {'field_name': 'within', 'data_type': 'character varying'}, {'field_name': 'fips_cntry', 'data_type': 'character varying'}]
0;;Bahrain;http://data.humdata.org/dataset/23a85209-66d3-4d10-a69f-7baf6d2cc8c1/resource/0fe9fd06-39e4-4d60-846c-92ebcf9d81de/download/BHN_Places_ESRI.zip;Populated Places;[{'field_name': 'ogc_fid', 'data_type': 'integer'}, {'field_name': 'wkb_geometry', 'data_type': 'USER-DEFINED'}, {'field_name': 'name', 'data_type': 'character varying'}, {'field_name': 'lang', 'data_type': 'numeric'}, {'field_name': 'admin1', 'data_type': 'character varying'}, {'field_name': 'islandname', 'data_type': 'character varying'}, {'field_name': 'country', 'data_type': 'character varying'}, {'field_name': 'cntry_fips', 'data_type': 'character varying'}, {'field_name': 'cntry_iso', 'data_type': 'character varying'}, {'field_name': 'type', 'data_type': 'numeric'}, {'field_name': 'class', 'data_type': 'numeric'}, {'field_name': 'popest', 'data_type': 'character varying'}, {'field_name': 'longitude', 'data_type': 'character varying'}, {'field_name': 'latitude', 'data_type': 'character varying'}, {'field_name': 'rendition', 'data_type': 'numeric'}, {'field_name': 'id', 'data_type': 'character varying'}, {'field_name': 'fid_1', 'data_type': 'character varying'}]
0;4;Bangladesh;http://data.humdata.org/dataset/1386fb3c-39bb-43a1-8046-72cb89ab578d/resource/fd673983-96ac-4fac-be20-38ffc9a8f6c3/download/bgd_bnd_admin4_bbs.zip;bgd_bnd_admin4_bbs.zip;[{'field_name': 'ogc_fid', 'data_type': 'integer'}, {'field_name': 'wkb_geometry', 'data_type': 'USER-DEFINED'}, {'field_name': 'geocode11', 'data_type': 'character varying'}, {'field_name': 'landtype', 'data_type': 'character varying'}, {'field_name': 'division', 'data_type': 'character varying'}, {'field_name': 'district', 'data_type': 'character varying'}, {'field_name': 'upazila', 'data_type': 'character varying'}, {'field_name': 'union', 'data_type': 'character varying'}, {'field_name': 'upzcode', 'data_type': 'character varying'}, {'field_name': 'shape_leng', 'data_type': 'character varying'}, {'field_name': 'shape_area', 'data_type': 'character varying'}]
0;3;Bangladesh;http://data.humdata.org/dataset/01f31180-84ef-44ca-a561-4ac62c6a61c4/resource/2d332b10-fdfd-4721-ac19-e3dec9166a7b/download/bgd_bnd_admin3_bbs.zip;bgd_bnd_admin3_bbs.zip;[{'field_name': 'ogc_fid', 'data_type': 'integer'}, {'field_name': 'wkb_geometry', 'data_type': 'USER-DEFINED'}, {'field_name': 'division', 'data_type': 'character varying'}, {'field_name': 'district', 'data_type': 'character varying'}, {'field_name': 'upazila', 'data_type': 'character varying'}, {'field_name': 'upzcode', 'data_type': 'numeric'}, {'field_name': 'shape_leng', 'data_type': 'character varying'}, {'field_name': 'shape_area', 'data_type': 'character varying'}, {'field_name': 'area_skm', 'data_type': 'character varying'}]
0;2;Bangladesh;http://data.humdata.org/dataset/fa7e044e-76ac-4363-8231-64d15ca93d46/resource/f48ee835-24bb-4016-87a3-ab6c2f010287/download/bgd_bnd_admin2_bbs.zip;bgd_bnd_admin2_bbs.zip;[{'field_name': 'ogc_fid', 'data_type': 'integer'}, {'field_name': 'wkb_geometry', 'data_type': 'USER-DEFINED'}, {'field_name': 'division', 'data_type': 'character varying'}, {'field_name': 'district', 'data_type': 'character varying'}, {'field_name': 'disgeocode', 'data_type': 'numeric'}, {'field_name': 'shape_leng', 'data_type': 'character varying'}, {'field_name': 'shape_area', 'data_type': 'character varying'}, {'field_name': 'asd', 'data_type': 'numeric'}]
0;1;Bangladesh;http://data.humdata.org/dataset/6f8763e3-7f07-49ff-9ef6-a752da531475/resource/6b5577a3-47df-4f85-b2f0-5e2c86add0c9/download/bgd_bnd_admin1_bbs.zip;bgd_bnd_admin1_bbs.zip;[{'field_name': 'ogc_fid', 'data_type': 'integer'}, {'field_name': 'wkb_geometry', 'data_type': 'USER-DEFINED'}, {'field_name': 'division', 'data_type': 'character varying'}, {'field_name': 'divgeocode', 'data_type': 'numeric'}, {'field_name': 'shape_leng', 'data_type': 'character varying'}, {'field_name': 'shape_area', 'data_type': 'character varying'}, {'field_name': 'aa', 'data_type': 'numeric'}]
0;0;Benin;http://data.humdata.org/dataset/494229d9-eee0-4872-8864-2baf98691554/resource/91be83e9-a3c6-427a-9f00-1ddb5d614f09/download/ben_admbnd0_1m_ocha.zip;International boundary;[{'field_name': 'ogc_fid', 'data_type': 'integer'}, {'field_name': 'wkb_geometry', 'data_type': 'USER-DEFINED'}, {'field_name': 'cntry_name', 'data_type': 'character varying'}, {'field_name': 'cntry_code', 'data_type': 'character varying'}]
0;1;Benin;http://data.humdata.org/dataset/494229d9-eee0-4872-8864-2baf98691554/resource/e8817dc4-3734-4e4f-be54-d446fc71f68a/download/ben_admbnd1_1m_SALB.zip;Admin1 boundary;[{'field_name': 'ogc_fid', 'data_type': 'integer'}, {'field_name': 'wkb_geometry', 'data_type': 'USER-DEFINED'}, {'field_name': 'cntry_name', 'data_type': 'character varying'}, {'field_name': 'cntry_code', 'data_type': 'character varying'}, {'field_name': 'adm1_name', 'data_type': 'character varying'}, {'field_name': 'rowcacode1', 'data_type': 'character varying'}, {'field_name': 'hrname', 'data_type': 'character varying'}, {'field_name': 'hrpcode', 'data_type': 'character varying'}, {'field_name': 'hrparent', 'data_type': 'character varying'}]
0;2;Benin;http://data.humdata.org/dataset/494229d9-eee0-4872-8864-2baf98691554/resource/8478a018-96ab-453c-915f-310f588500ff/download/ben_admbnd2_1m_SALB.zip;Admin2 boundary;[{'field_name': 'ogc_fid', 'data_type': 'integer'}, {'field_name': 'wkb_geometry', 'data_type': 'USER-DEFINED'}, {'field_name': 'cntry_name', 'data_type': 'character varying'}, {'field_name': 'cntry_code', 'data_type': 'character varying'}, {'field_name': 'adm1_name', 'data_type': 'character varying'}, {'field_name': 'adm2_name', 'data_type': 'character varying'}, {'field_name': 'rowcacode1', 'data_type': 'character varying'}, {'field_name': 'rowcacode2', 'data_type': 'character varying'}, {'field_name': 'hrname', 'data_type': 'character varying'}, {'field_name': 'hrpcode', 'data_type': 'character varying'}, {'field_name': 'hrparent', 'data_type': 'character varying'}]
0;2;Bhutan;http://data.humdata.org/dataset/fc1ab95e-a63e-4f6d-a1b7-259a97166314/resource/99ea2610-d165-4007-90c7-dcc6ce0ea5ad/download/btn_polbnda_adm2_bgp_edit.zip;btn_polbnda_adm2_bgp_edit.zip;[{'field_name': 'ogc_fid', 'data_type': 'integer'}, {'field_name': 'wkb_geometry', 'data_type': 'USER-DEFINED'}, {'field_name': 'objectid', 'data_type': 'numeric'}, {'field_name': 'adm1_code', 'data_type': 'character varying'}, {'field_name': 'adm1_name', 'data_type': 'character varying'}, {'field_name': 'adm2_code', 'data_type': 'character varying'}, {'field_name': 'adm2_name', 'data_type': 'character varying'}, {'field_name': 'shape_le_1', 'data_type': 'character varying'}, {'field_name': 'shape_area', 'data_type': 'character varying'}]
0;1;Bhutan;http://data.humdata.org/dataset/713a6158-fbe9-414b-b58f-a2d5932f2b37/resource/7c6d64b0-d3e6-4b1a-87b6-d30361aaa3f0/download/btn_polbnda_adm1_bgp_edit.zip;btn_polbnda_adm1_bgp_edit.zip;[{'field_name': 'ogc_fid', 'data_type': 'integer'}, {'field_name': 'wkb_geometry', 'data_type': 'USER-DEFINED'}, {'field_name': 'objectid', 'data_type': 'numeric'}, {'field_name': 'adm1_code', 'data_type': 'character varying'}, {'field_name': 'adm1_name', 'data_type': 'character varying'}, {'field_name': 'shape_leng', 'data_type': 'character varying'}, {'field_name': 'shape_area', 'data_type': 'character varying'}]
0;0;Bhutan;http://data.humdata.org/dataset/0867f4eb-e817-4a42-bd5f-6ae5516a10df/resource/cc00bf57-849c-47ba-bbbe-fbcc2fb4c717/download/btn_polbnda_adm0_bgp_edit.zip;btn_polbnda_adm0_bgp_edit.zip;[{'field_name': 'ogc_fid', 'data_type': 'integer'}, {'field_name': 'wkb_geometry', 'data_type': 'USER-DEFINED'}, {'field_name': 'objectid', 'data_type': 'numeric'}, {'field_name': 'name', 'data_type': 'character varying'}, {'field_name': 'shape_leng', 'data_type': 'character varying'}, {'field_name': 'shape_area', 'data_type': 'character varying'}]
0;2;Bolivia (Plurinational State of);http://data.humdata.org/dataset/46e586ce-c00c-4e50-b212-284a02624fee/resource/75a24ab6-cd5e-431f-916b-a6b77626345b/download/administrative_boundaries_-_level_3_limite_provincial.zip;administrative_boundaries_-_level_3_limite_provincial.zip;[{'field_name': 'ogc_fid', 'data_type': 'integer'}, {'field_name': 'wkb_geometry', 'data_type': 'USER-DEFINED'}, {'field_name': 'cod_prov', 'data_type': 'character varying'}, {'field_name': 'nom_prov', 'data_type': 'character varying'}]
0;0;Bolivia (Plurinational State of);http://data.humdata.org/dataset/49ec2461-90ce-491f-a9c3-2f12e3a555bd/resource/5dd659d8-7dec-406c-a009-38fc3b54ed48/download/administrative_boundaries-level_1_0.zip;administrative_boundaries-level_1_0.zip;[{'field_name': 'ogc_fid', 'data_type': 'integer'}, {'field_name': 'wkb_geometry', 'data_type': 'USER-DEFINED'}, {'field_name': 'nombre', 'data_type': 'character varying'}, {'field_name': 'perimeter', 'data_type': 'character varying'}, {'field_name': 'area', 'data_type': 'character varying'}, {'field_name': 'hectares', 'data_type': 'character varying'}, {'field_name': 'cod', 'data_type': 'numeric'}]
